group_id,group_URLName,event_id,event_name,time,event_url
819043,ACIM-meditation,kqdwkpyzqbpc,ACIM-Based New Year's Eve Guided Meditation with Yasuko,1577833200000,https://www.meetup.com/ACIM-meditation/events/267285197/
841575,taichi-118,bqpbnpyzqbpc,Beginner's Tai Chi,1577833200000,https://www.meetup.com/taichi-118/events/267417521/
841575,taichi-118,fsxbmryzqbpc,"TaijiFit-Easy, Follow Along Group Tai Chi Class",1577835900000,https://www.meetup.com/taichi-118/events/267418377/
842661,NYC-Culture,267087319,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/NYC-Culture/events/267087319/
842661,NYC-Culture,267274029,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/NYC-Culture/events/267274029/
842661,NYC-Culture,267063026,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/NYC-Culture/events/267063026/
842661,NYC-Culture,266999195,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/NYC-Culture/events/266999195/
958054,africana-35,267444111,Celebrate the New Year with Issa Sow at Issyra Gallery,1577842200000,https://www.meetup.com/africana-35/events/267444111/
1052475,nyc-bg,zfkgjryzqbpc,Bronx/Westchester Backgammon - Port Chester,1577833200000,https://www.meetup.com/nyc-bg/events/266812278/
1080706,ZorkasStellarLadies,267437934,New Year's Eve Party,1577844000000,https://www.meetup.com/ZorkasStellarLadies/events/267437934/
1080706,ZorkasStellarLadies,267437972,New York City New Year's Eve Social Gathering,1577844000000,https://www.meetup.com/ZorkasStellarLadies/events/267437972/
1100910,salsa-398,265795003,NYE 12/31--2 Parties in 1--SALSA wDJ Woody--HUSTLE wDJ Nelson--Hosts AUDREY+IRIS,1577840400000,https://www.meetup.com/salsa-398/events/265795003/
1101449,I-Love-NY-fun-things-to-do,267089445,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/I-Love-NY-fun-things-to-do/events/267089445/
1101449,I-Love-NY-fun-things-to-do,266938232,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/I-Love-NY-fun-things-to-do/events/266938232/
1101449,I-Love-NY-fun-things-to-do,267095490,40 & Over New Year's Eve Party,1577840400000,https://www.meetup.com/I-Love-NY-fun-things-to-do/events/267095490/
1101449,I-Love-NY-fun-things-to-do,267002768,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/I-Love-NY-fun-things-to-do/events/267002768/
1101449,I-Love-NY-fun-things-to-do,267170193,New York City Singles New Year's Eve Party,1577840400000,https://www.meetup.com/I-Love-NY-fun-things-to-do/events/267170193/
1128237,jcrunners,rblvpqyzqbpc,Tuesday to the Park 6:15 AM @ Brownstone Diner,1577790900000,https://www.meetup.com/jcrunners/events/267409922/
1128237,jcrunners,267216650,10AM New Year's Eve Leisure Run!,1577804400000,https://www.meetup.com/jcrunners/events/267216650/
1150423,latino-professionals,266906479,NYC's Largest New Years Eve Singles Party 2020,1577836800000,https://www.meetup.com/latino-professionals/events/266906479/
1150493,russian-professionals-ages-20s-30-40s,266906431,NYC's Largest New Years Eve Singles Party,1577836800000,https://www.meetup.com/russian-professionals-ages-20s-30-40s/events/266906431/
1150511,Asian-Professionals-ages-20s-30s-40s,266906354,NYC's Largest New Years Eve Singles Party,1577836800000,https://www.meetup.com/Asian-Professionals-ages-20s-30s-40s/events/266906354/
1189921,friendsoflic-astoria,266670325,NYE Roaring 20’s Countdown Bash,1577844000000,https://www.meetup.com/friendsoflic-astoria/events/266670325/
1192681,freethingstodoinnyc,267119640,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/freethingstodoinnyc/events/267119640/
1192681,freethingstodoinnyc,267142687,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/freethingstodoinnyc/events/267142687/
1192681,freethingstodoinnyc,267248412,New Years Eve NYC Singles Party I Ring In 2020 With 300+ NY Singles 21-45,1577840400000,https://www.meetup.com/freethingstodoinnyc/events/267248412/
1209438,nycvolunteerandcommunity,267248425,New Years Eve NYC Singles Party I Ring In 2020 With 300+ NY Singles 21-45,1577840400000,https://www.meetup.com/nycvolunteerandcommunity/events/267248425/
